ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz,AngleZ,AngleX,AngleY
946760631,8907906000000,,,-1260194546640099328,0.0,4201.97332277894,5.828343661300643,12.257708919063454,3421,24,0.0,15,405054475659324,17,28.6,313.41082763671875,0.0632999986410141,0,0.0,0.0,,,,,0,,1,,,334.67188,-96.40625,1.375
946760631,8907906000000,,,-1260194546640099328,0.0,4201.97332277894,5.828343661300643,12.257708919063454,3421,32,0.0,15,405054473151204,31,23.2,-351.3962707519531,0.7310000061988831,0,0.0,0.0,,,,,0,,1,,,334.67188,-96.40625,1.375
946761601,8908904000000,,,-1260194546639238912,0.0,4204.879514873028,-0.14469492174867837,13.573298039254666,3422,10,0.0,15,405055473717461,17,28.9,-290.829833984375,0.06030000001192093,0,0.0,0.0,,,,,0,,1,,,7.59375,-101.34375,10.0
946761602,8908904000000,,,-1260194546639238912,0.0,4204.879514873028,-0.14469492174867837,13.573298039254666,3422,14,0.0,15,405055463384800,10,34.8,-467.8837585449219,0.051600001752376556,0,0.0,0.0,,,,,0,,1,,,7.59375,-101.34375,10.0
946761602,8908904000000,,,-1260194546639238912,0.0,4204.879514873028,-0.14469492174867837,13.573298039254666,3422,15,0.0,15,405055462195507,12,32.4,588.042724609375,0.0544000007212162,0,0.0,0.0,,,,,0,,1,,,7.59375,-101.34375,10.0
946761603,8908904000000,,,-1260194546639238912,0.0,4204.879514873028,-0.14469492174867837,13.573298039254666,3422,20,0.0,15,405055476443326,27,24.1,64.69033813476562,0.6754999756813049,0,0.0,0.0,,,,,0,,1,,,7.59375,-101.34375,10.0
946761603,8908904000000,,,-1260194546639238912,0.0,4204.879514873028,-0.14469492174867837,13.573298039254666,3422,21,0.0,15,405055469584259,10,34.4,466.9401550292969,0.03060000017285347,0,0.0,0.0,,,,,0,,1,,,7.59375,-101.34375,10.0
946761605,8908904000000,,,-1260194546639238912,0.0,4204.879514873028,-0.14469492174867837,13.573298039254666,3422,24,0.0,15,405055472797588,17,28.3,315.7278747558594,0.058800000697374344,0,0.0,0.0,,,,,0,,1,,,7.59375,-101.34375,10.0
946761605,8908904000000,,,-1260194546639238912,0.0,4204.879514873028,-0.14469492174867837,13.573298039254666,3422,27,0.0,15,405055459332065,13,31.5,395.4498596191406,0.05230000242590904,0,0.0,0.0,,,,,0,,1,,,7.59375,-101.34375,10.0
946761606,8908904000000,,,-1260194546639238912,0.0,4204.879514873028,-0.14469492174867837,13.573298039254666,3422,32,0.0,15,405055470291743,8,36.1,-347.9107666015625,0.029000001028180122,0,0.0,0.0,,,,,0,,1,,,7.59375,-101.34375,10.0
